Posición,Iters_per_s,Iterations,Time
Mate en 1 - Dama esquina,0.0,0,0.0005829334259033203
Mate en 1 - Dama esquina,0.0,0,0.0004761219024658203
Mate en 1 - Dama esquina,0.0,0,0.0004699230194091797
Mate en 1 - Dama esquina,0.0,0,0.00046706199645996094
Mate en 1 - Dama esquina,0.0,0,0.00046515464782714844
Mate en 1 - Dama esquina,0.0,0,0.0004642009735107422
Mate en 1 - Dama esquina,0.0,0,0.0004878044128417969
Mate en 1 - Dama esquina,0.0,0,0.0004620552062988281
Mate en 1 - Dama esquina,0.0,0,0.0005240440368652344
Mate en 1 - Dama esquina,0.0,0,0.0005021095275878906
Mate en 1 - Torre séptima,5224.5617095818525,7839,1.500412940979004
Mate en 1 - Torre séptima,4799.527710140349,7201,1.5003559589385986
Mate en 1 - Torre séptima,5071.338267411439,7609,1.5003929138183594
Mate en 1 - Torre séptima,5006.268653319972,7511,1.500319004058838
Mate en 1 - Torre séptima,4939.437981217606,7411,1.500373125076294
Mate en 1 - Torre séptima,5034.041108387304,7553,1.500385046005249
Mate en 1 - Torre séptima,5125.419416884223,7690,1.5003650188446045
Mate en 1 - Torre séptima,4752.494096606361,7130,1.5002648830413818
Mate en 1 - Torre séptima,5185.670984498775,7780,1.5002880096435547
Mate en 1 - Torre séptima,5017.573264289643,7528,1.5003268718719482
Mate en 1 - Dama lateral,0.0,0,0.0003819465637207031
Mate en 1 - Dama lateral,0.0,0,0.0003561973571777344
Mate en 1 - Dama lateral,0.0,0,0.00034809112548828125
Mate en 1 - Dama lateral,0.0,0,0.0003447532653808594
Mate en 1 - Dama lateral,0.0,0,0.0003440380096435547
Mate en 1 - Dama lateral,0.0,0,0.0003447532653808594
Mate en 1 - Dama lateral,0.0,0,0.00034618377685546875
Mate en 1 - Dama lateral,0.0,0,0.00034308433532714844
Mate en 1 - Dama lateral,0.0,0,0.0003418922424316406
Mate en 1 - Dama lateral,0.0,0,0.0003459453582763672
Mate en 1 - Torre banda,0.0,0,0.000308990478515625
Mate en 1 - Torre banda,0.0,0,0.0002899169921875
Mate en 1 - Torre banda,0.0,0,0.00028896331787109375
Mate en 1 - Torre banda,0.0,0,0.0002892017364501953
Mate en 1 - Torre banda,0.0,0,0.00029397010803222656
Mate en 1 - Torre banda,0.0,0,0.00028896331787109375
Mate en 1 - Torre banda,0.0,0,0.0003261566162109375
Mate en 1 - Torre banda,0.0,0,0.0002949237823486328
Mate en 1 - Torre banda,0.0,0,0.00030112266540527344
Mate en 1 - Torre banda,0.0,0,0.0002999305725097656
Mate en 1 - Dos torres,0.0,0,0.0004200935363769531
Mate en 1 - Dos torres,0.0,0,0.000408172607421875
Mate en 1 - Dos torres,0.0,0,0.0004029273986816406
Mate en 1 - Dos torres,0.0,0,0.0005030632019042969
Mate en 1 - Dos torres,0.0,0,0.0004169940948486328
Mate en 1 - Dos torres,0.0,0,0.00041985511779785156
Mate en 1 - Dos torres,0.0,0,0.0004119873046875
Mate en 1 - Dos torres,0.0,0,0.0004048347473144531
Mate en 1 - Dos torres,0.0,0,0.0004050731658935547
Mate en 1 - Dos torres,0.0,0,0.0004038810729980469
Mate en 2 - Basic 1,13424.225443711293,20142,1.5004217624664307
Mate en 2 - Basic 1,13428.02939391108,20147,1.5003690719604492
Mate en 2 - Basic 1,13553.673180463535,20336,1.5004050731658936
Mate en 2 - Basic 1,13582.968827528342,20379,1.5003347396850586
Mate en 2 - Basic 1,13577.33678076224,20371,1.5003678798675537
Mate en 2 - Basic 1,13614.238920584292,20426,1.5003409385681152
Mate en 2 - Basic 1,13585.352089650216,20383,1.500365972518921
Mate en 2 - Basic 1,13653.991158424382,20486,1.5003671646118164
Mate en 2 - Basic 1,13644.041304477025,20471,1.5003619194030762
Mate en 2 - Basic 1,13568.130787814473,20357,1.5003540515899658
Mate en 2 - R vs K,6323.9592710616525,9488,1.5003259181976318
Mate en 2 - R vs K,6384.562030093409,9579,1.500337839126587
Mate en 2 - R vs K,6341.955360892877,9515,1.5003259181976318
Mate en 2 - R vs K,6414.571584258152,9624,1.5003340244293213
Mate en 2 - R vs K,6505.6295225761505,9760,1.5002391338348389
Mate en 2 - R vs K,6408.175239682592,9614,1.5002710819244385
Mate en 2 - R vs K,6570.616208000883,9858,1.5003159046173096
Mate en 2 - R vs K,6305.595264222232,9460,1.5002548694610596
Mate en 2 - R vs K,6602.653538308199,9906,1.5003058910369873
Mate en 2 - R vs K,6245.338474451889,9370,1.500319004058838
Mate en 3 - ejemplo,42.644449342094255,65,1.524231195449829
Mate en 3 - ejemplo,43.77432564856036,66,1.5077331066131592
Mate en 3 - ejemplo,43.84671141028892,66,1.5052440166473389
Mate en 3 - ejemplo,43.932280341029596,66,1.502312183380127
Mate en 3 - ejemplo,40.5369205523867,61,1.5048010349273682
Mate en 3 - ejemplo,39.88158101797156,60,1.5044538974761963
Mate en 3 - ejemplo,40.64899587572096,61,1.5006520748138428
Mate en 3 - ejemplo,42.77545697354471,65,1.5195629596710205
Mate en 3 - ejemplo,43.72340401335849,66,1.5094890594482422
Mate en 3 - ejemplo,43.670781848858276,66,1.511307954788208
Promotion tactic,9355.207948843985,14035,1.5002338886260986
Promotion tactic,9559.308313110365,14341,1.5002131462097168
Promotion tactic,8781.78310828089,13174,1.5001509189605713
Promotion tactic,9249.60519298723,13876,1.5001721382141113
Promotion tactic,9708.10351332027,14564,1.500190019607544
Promotion tactic,9434.885771413143,14154,1.5001771450042725
Promotion tactic,9345.102840087347,14019,1.5001440048217773
Promotion tactic,9918.13050626496,14879,1.5001819133758545
Promotion tactic,9732.978872942864,14602,1.5002601146697998
Promotion tactic,9967.429343808886,14953,1.5001862049102783
Complex mid-endgame,21.795656711085105,33,1.5140631198883057
Complex mid-endgame,22.76019847798813,35,1.5377721786499023
Complex mid-endgame,22.569418214420523,34,1.5064632892608643
Complex mid-endgame,23.528810902899266,36,1.5300390720367432
Complex mid-endgame,23.160351922221945,35,1.5112032890319824
Complex mid-endgame,21.82473830329618,33,1.5120456218719482
Complex mid-endgame,20.215141149337793,31,1.5335040092468262
Complex mid-endgame,22.525789540442183,34,1.5093810558319092
Complex mid-endgame,22.84753074987199,35,1.5318942070007324
Complex mid-endgame,19.562236892059165,30,1.533566951751709
